,stock_n,year,brand,model,price
0,16237735,2013,Audi,A5 Premium,21998.0
1,16237784,2014,Audi,A5 Premium Plus,22998.0
2,16238238,2013,Audi,Q5 Premium Plus,26998.0
3,15411470,2013,Audi,RS5,41998.0
4,15952558,2015,BMW,X4 XDrive35i,34998.0
5,16568229,2013,Cadillac,ATS Premium,21998.0
6,16238577,2012,Cadillac,CTS Luxury,16998.0
7,16171245,2012,Chevrolet,Avalanche 1500 LT,21998.0
8,16171094,2012,Chevrolet,Avalanche 1500 LTZ,27998.0
9,16237838,2017,Chevrolet,Camaro LT,25998.0
10,16250805,2017,Chevrolet,Camaro LT,24599.0
11,15594791,2012,Chevrolet,Captiva Sport LT,9998.0
12,16238375,2017,Chevrolet,Colorado Work Truck,19998.0
13,16250158,2016,Chevrolet,Colorado Work Truck,18998.0
14,16238203,2016,Chevrolet,Colorado Z71,35998.0
15,15880016,2012,Chevrolet,Equinox LS,13998.0
16,16568203,2015,Chevrolet,Malibu LS,12998.0
17,16568328,2015,Chevrolet,Malibu LS,13998.0
18,16250755,2016,Chevrolet,Silverado 1500 Work Truck,22599.0
19,16238159,2015,Chevrolet,Sonic LT,10998.0
20,16171364,2014,Chevrolet,Spark LS,8998.0
21,16339119,2017,Chevrolet,Spark LS,11998.0
22,15325916,2015,Chevrolet,Suburban 1500 LT,36998.0
23,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0
24,16238414,2017,Chevrolet,Tahoe LT,42998.0
25,16237779,2016,Chevrolet,Tahoe LTZ,43998.0
26,16171118,2017,Chevrolet,Traverse LT,21998.0
27,16250130,2016,Chevrolet,Trax LS,14998.0
28,16421065,2015,Chevrolet,Volt,16599.0
29,16237594,2015,Chrysler,200 Limited,12998.0
30,16250208,2015,Chrysler,200 Limited,13998.0
31,16338495,2015,Chrysler,200 Limited,12599.0
32,15660943,2016,Dodge,Challenger R/T Scat Pack,34998.0
33,16250312,2017,Dodge,Challenger SXT PLUS,25998.0
34,16497033,2015,Dodge,Charger SE,17998.0
35,16257029,2013,Dodge,Dart Aero,9998.0
36,16250436,2015,Dodge,Dart GT,14998.0
37,16171269,2017,Dodge,Durango SXT,27998.0
38,16238712,2013,Dodge,Journey SE,14998.0
39,16237691,2015,Dodge,Ram 1500 Tradesman,16998.0
40,16250279,2017,Fiat,124 Spider Classica,20998.0
41,16237396,2013,Fiat,500 Pop,8998.0
42,16238636,2013,Fiat,500 Sport,9998.0
43,16237966,2011,Ford,Edge Limited,17998.0
44,16171259,2008,Ford,Edge SE,12599.0
45,16597090,2017,Ford,Edge Titanium,24998.0
46,16170829,2014,Ford,Escape SE,16998.0
47,16238509,2018,Ford,Escape SEL,23998.0
48,16238213,2015,Ford,Explorer Limited,28998.0
49,16418320,2015,Ford,Explorer Limited,24998.0
50,16237735,2013,Audi,A5 Premium,21998.0
51,16237784,2014,Audi,A5 Premium Plus,22998.0
52,16238238,2013,Audi,Q5 Premium Plus,26998.0
53,15411470,2013,Audi,RS5,41998.0
54,15952558,2015,BMW,X4 XDrive35i,34998.0
55,16568229,2013,Cadillac,ATS Premium,21998.0
56,16238577,2012,Cadillac,CTS Luxury,16998.0
57,16171245,2012,Chevrolet,Avalanche 1500 LT,21998.0
58,16171094,2012,Chevrolet,Avalanche 1500 LTZ,27998.0
59,16237838,2017,Chevrolet,Camaro LT,25998.0
60,16250805,2017,Chevrolet,Camaro LT,24599.0
61,15594791,2012,Chevrolet,Captiva Sport LT,9998.0
62,16238375,2017,Chevrolet,Colorado Work Truck,19998.0
63,16250158,2016,Chevrolet,Colorado Work Truck,18998.0
64,16238203,2016,Chevrolet,Colorado Z71,35998.0
65,15880016,2012,Chevrolet,Equinox LS,13998.0
66,16568203,2015,Chevrolet,Malibu LS,12998.0
67,16568328,2015,Chevrolet,Malibu LS,13998.0
68,16250755,2016,Chevrolet,Silverado 1500 Work Truck,22599.0
69,16238159,2015,Chevrolet,Sonic LT,10998.0
70,16171364,2014,Chevrolet,Spark LS,8998.0
71,16339119,2017,Chevrolet,Spark LS,11998.0
72,15325916,2015,Chevrolet,Suburban 1500 LT,36998.0
73,16568253,2016,Chevrolet,Suburban 1500 LTZ,48998.0
74,16238414,2017,Chevrolet,Tahoe LT,42998.0
75,16237779,2016,Chevrolet,Tahoe LTZ,43998.0
76,16171118,2017,Chevrolet,Traverse LT,21998.0
77,16250130,2016,Chevrolet,Trax LS,14998.0
78,16421065,2015,Chevrolet,Volt,16599.0
79,16237594,2015,Chrysler,200 Limited,12998.0
80,16250208,2015,Chrysler,200 Limited,13998.0
81,16338495,2015,Chrysler,200 Limited,12599.0
82,15660943,2016,Dodge,Challenger R/T Scat Pack,34998.0
83,16250312,2017,Dodge,Challenger SXT PLUS,25998.0
84,16497033,2015,Dodge,Charger SE,17998.0
85,16257029,2013,Dodge,Dart Aero,9998.0
86,16250436,2015,Dodge,Dart GT,14998.0
87,16171269,2017,Dodge,Durango SXT,27998.0
88,16238712,2013,Dodge,Journey SE,14998.0
89,16237691,2015,Dodge,Ram 1500 Tradesman,16998.0
90,16250279,2017,Fiat,124 Spider Classica,20998.0
91,16237396,2013,Fiat,500 Pop,8998.0
92,16238636,2013,Fiat,500 Sport,9998.0
93,16237966,2011,Ford,Edge Limited,17998.0
94,16171259,2008,Ford,Edge SE,12599.0
95,16597090,2017,Ford,Edge Titanium,24998.0
96,16170829,2014,Ford,Escape SE,16998.0
97,16238509,2018,Ford,Escape SEL,23998.0
98,16238213,2015,Ford,Explorer Limited,28998.0
99,16418320,2015,Ford,Explorer Limited,24998.0
100,16568246,2018,Ford,Explorer Sport,36998.0
101,16237897,2015,Ford,F150 Lariat,41998.0
102,16238218,2014,Ford,F150 STX,24998.0
103,15326231,2013,Ford,F150 XL,12998.0
104,16238700,2015,Ford,F150 XL,24599.0
105,15574456,2016,Ford,Fiesta SE,10998.0
106,16568369,2017,Ford,Fiesta SE,11998.0
107,16238834,2016,Ford,Flex SE,19599.0
108,15778014,2008,Ford,Focus SE,7599.0
109,15908767,2009,Ford,Focus SE,6998.0
110,16238356,2015,Ford,Focus SE,12998.0
111,16238215,2016,Ford,Focus ST,21599.0
112,16250099,2008,Ford,Fusion S,9998.0
113,16237988,2012,Ford,Fusion SE,9998.0
114,16238673,2016,Ford,Fusion SE,13998.0
115,16568071,2016,Ford,Fusion Energi SE,15998.0
116,16568075,2015,Ford,Mustang EcoBoost,20998.0
117,16238558,2016,Ford,Transit 350 XLT,25998.0
118,16238588,2013,GMC,Sierra 1500 SLT,23998.0
119,16328092,2017,GMC,Terrain SLT,24998.0
120,16568131,2008,Honda,Accord EX,11998.0
121,16171091,2010,Honda,Accord EX-L,11998.0
122,15660542,2013,Honda,Accord LX,15998.0
123,15817829,2018,Honda,Accord Touring,32998.0
124,16238714,2017,Honda,Civic EX,21998.0
125,16568415,2015,Honda,Civic EX-L,18998.0
126,16171345,2012,Honda,Civic Si,16998.0
127,16171328,2008,Honda,CR-V EX,11998.0
128,16249899,2014,Honda,CR-V EX,18998.0
129,16238025,2017,Honda,CR-V Touring,31998.0
130,16238301,2015,Honda,Fit EX,14599.0
131,16568320,2017,Honda,HR-V EX,23998.0
132,16327525,2015,Honda,Odyssey EX,23998.0
133,16249875,2013,Honda,Odyssey LX,18998.0
134,15915383,2010,Honda,Pilot EX,14998.0
135,16250561,2010,Hyundai,Elantra GLS,9998.0
136,16324381,2016,Hyundai,Elantra GT,12998.0
137,16416742,2016,Hyundai,Elantra GT,13998.0
138,16250548,2015,Hyundai,Elantra SE,11998.0
139,16450767,2017,Hyundai,Elantra SE,14998.0
140,16217698,2016,Hyundai,Elantra Value Edition,12998.0
141,16423246,2014,Hyundai,Equus Ultimate,26998.0
142,16238040,2016,Hyundai,Genesis,26998.0
143,16238502,2010,Hyundai,Santa Fe Limited,14599.0
144,16348446,2016,Hyundai,Santa Fe Sport,18998.0
145,16250286,2011,Hyundai,Sonata GLS,8998.0
146,16593119,2015,Hyundai,Sonata SE,15599.0
147,16250223,2013,Hyundai,Veloster Turbo,13998.0
148,16237571,2012,Hyundai,Veloster,9599.0
149,16238496,2016,Hyundai,Veloster,14998.0
150,16036152,2011,Infiniti,G37,18998.0
151,16296191,2015,Infiniti,Q70 L,28998.0
152,16250514,2014,Infiniti,QX50 Journey,22998.0
153,16238249,2015,Infiniti,QX60,28998.0
154,16446424,2017,Infiniti,QX60,30998.0
155,16385128,2017,Infiniti,QX80,39998.0
156,16568180,2016,Jeep,Cherokee Latitude,20998.0
157,16238300,2015,Jeep,Grand Cherokee Laredo,22998.0
158,16238640,2017,Jeep,Patriot Sport,15998.0
159,16497952,2016,Jeep,Renegade Latitude,15998.0
160,16257593,2015,Jeep,Renegade Limited,17998.0
161,15574751,2014,Jeep,Wrangler Sport,23998.0
162,16237511,2015,Kia,Forte5 SX,13599.0
163,16568230,2015,Kia,K900 Luxury,25998.0
164,16497954,2017,Kia,Optima LX,15998.0
165,16238830,2014,Kia,Rio LX,10998.0
166,16238610,2015,Kia,Sedona L,18998.0
167,16238264,2018,Kia,Sorento LX,23998.0
168,16237476,2016,Kia,Soul,12998.0
169,16238076,2017,Kia,Soul,13998.0
170,16238638,2015,Kia,Soul,12998.0
171,16327908,2015,Lexus,ES 350,29998.0
172,16238784,2013,Lexus,LS 460,32998.0
173,16327523,2015,Lexus,NX 200t,28998.0
174,16327567,2015,Lexus,RX 350,26998.0
175,16327964,2015,Lexus,RX 350,27998.0
176,16450987,2015,Lexus,RX 350,27998.0
177,16238832,2017,Lincoln,Continental Reserve,42998.0
178,16237888,2017,Mazda,CX-9 Signature,33998.0
179,16250598,2013,Mazda,Mazda3 i Sport,11998.0
180,16250832,2015,Mazda,Mazda3 I Touring,15998.0
181,16250705,2015,Mazda,Mazda6 I Touring,15998.0
182,16237990,2012,Mazda,MX-5 Miata Special Edition,19599.0
183,16192565,2015,Mercedes-Benz,C300,25998.0
184,16238564,2015,Mercedes-Benz,C300,22599.0
185,16238811,2015,Mercedes-Benz,C300,21998.0
186,16238812,2015,Mercedes-Benz,C300,23998.0
187,16486143,2018,Mercedes-Benz,C300,47998.0
188,16192572,2016,Mercedes-Benz,CLA250,26998.0
189,15016668,2014,Mercedes-Benz,E350 Sport,24998.0
190,16020612,2013,Mercedes-Benz,SLK250,26998.0
191,15777286,2013,Mini,Cooper,11998.0
192,16171311,2012,Mini,Cooper,11998.0
193,16071179,2014,Mini,Cooper Countryman S,14599.0
194,16238323,2014,Mitsubishi,Lancer Evolution MR,31998.0
195,16238102,2015,Mitsubishi,Mirage DE,8998.0
196,16237783,2018,Mitsubishi,Outlander SEL,22998.0
197,16171442,2016,Nissan,Altima S,14998.0
198,16185708,2015,Nissan,Altima S,14998.0
199,16237488,2015,Nissan,Altima S,13998.0
200,16237863,2015,Nissan,Altima S,13998.0
201,16238633,2017,Nissan,Altima S,16998.0
202,16238840,2017,Nissan,Altima S,17998.0
203,16250086,2009,Nissan,Altima S,9998.0
204,16250668,2014,Nissan,Altima S,13599.0
205,16238181,2016,Nissan,Altima SV,17998.0
206,16238489,2016,Nissan,Altima SV,16998.0
207,16238185,2017,Nissan,Armada Platinum,47998.0
208,16238220,2017,Nissan,Frontier PRO-4X,31998.0
209,16250339,2014,Nissan,Juke Nismo,17998.0
210,16171316,2012,Nissan,Leaf SV,9998.0
211,16250626,2014,Nissan,Murano S,15998.0
212,16238404,2016,Nissan,Quest S,18998.0
213,15915306,2017,Nissan,Rogue S,20599.0
214,16568056,2015,Nissan,Sentra SR,13998.0
215,16568099,2015,Nissan,Sentra SV,13599.0
216,16238268,2017,Nissan,Titan SL,39998.0
217,16238683,2017,Nissan,Versa SL,14998.0
218,16238506,2015,Nissan,Versa Note SV,10998.0
219,16238662,2016,Scion,FR-S,19998.0
220,16327969,2015,Scion,FR-S,17599.0
221,16479017,2016,Scion,iA,14599.0
222,16250752,2014,Scion,tC,13998.0
223,16237348,2013,Subaru,BRZ Premium,17998.0
224,16238669,2015,Toyota,Camry LE,15599.0
225,16250287,2009,Toyota,Camry LE,9599.0
226,16250623,2015,Toyota,Camry LE,15998.0
227,16327904,2015,Toyota,Camry LE,16998.0
228,16479022,2015,Toyota,Camry LE,15998.0
229,16171061,2014,Toyota,Camry SE,14998.0
230,16238010,2015,Toyota,Camry SE,15998.0
231,16328227,2015,Toyota,Camry SE,16998.0
232,16327903,2015,Toyota,Camry XSE,16998.0
233,16171389,2014,Toyota,Corolla L,13998.0
234,16418383,2015,Toyota,Corolla L,14998.0
235,16238436,2016,Toyota,Corolla LE,13998.0
236,16238678,2015,Toyota,Corolla LE,13998.0
237,16238680,2015,Toyota,Corolla LE,13998.0
238,16250263,2009,Toyota,Corolla LE,11599.0
239,16327406,2016,Toyota,Corolla LE,14599.0
240,15777937,2009,Toyota,Corolla S,10998.0
241,16237590,2015,Toyota,Corolla S,13998.0
242,16171408,2017,Toyota,Corolla iM,16998.0
243,16171185,2010,Toyota,FJ Cruiser,22998.0
244,16428310,2013,Toyota,Highlander Hybrid Limited,25998.0
245,16258291,2016,Toyota,Prius Two,18998.0
246,16250354,2011,Toyota,Tacoma,25998.0
247,16238791,2015,Volkswagen,Beetle Classic,14998.0
248,16238193,2015,Volkswagen,CC R-Line,17998.0
249,16238201,2016,Volkswagen,CC R-Line,18998.0
250,16593120,2014,Volkswagen,Jetta S,11998.0
251,16237730,2014,Volkswagen,Passat SE,14599.0
252,16250597,2014,Volkswagen,Tiguan S,15998.0
253,16568089,2016,Volvo,S80 T5 Platinum,21998.0
254,16250155,2015,Volvo,XC60 T5 Premier,20998.0
255,16568247,2016,Acura,ILX,19998.0
256,16568254,2016,Acura,RDX AWD,25998.0
257,16568421,2015,Acura,RDX,22998.0
258,16171531,2009,Acura,TSX,11599.0
259,16171312,2015,Audi,A6 Premium,22998.0
260,16568091,2015,BMW,320 I,18998.0
261,16171407,2011,BMW,328 I,16998.0
262,14942064,2014,BMW,328 XI,25998.0
263,16238805,2015,BMW,328 XI,23998.0
264,16568107,2016,BMW,328 XI Gran Turismo,24998.0
265,16497275,2015,BMW,428 I Gran Coupe,24998.0
266,16250571,2013,BMW,Activehybrid 3,20998.0
267,16250439,2015,BMW,X5 XDrive35D,38998.0
268,16568164,2015,BMW,X5 XDrive35i,33998.0
269,16496948,2015,Buick,Enclave Convenience,22998.0
270,16597476,2014,Buick,Verano Leather,14998.0
271,16250761,2014,Cadillac,XTS,17998.0
272,16568185,2017,Chevrolet,Colorado Work Truck,19998.0
273,16250675,2011,Chevrolet,Cruze ECO,10998.0
274,16005560,2017,Chevrolet,Cruze LS,14998.0
275,16568442,2016,Chevrolet,Cruze LS,12998.0
276,16568596,2017,Chevrolet,Equinox LS,18998.0
277,16171591,2008,Chevrolet,Equinox LT,13998.0
278,16250673,2010,Chevrolet,Impala LS,10998.0
279,16568322,2014,Chevrolet,Impala Limited LT,11998.0
280,16451021,2015,Chevrolet,Malibu LS,13998.0
281,16568460,2015,Chevrolet,Malibu LS,13998.0
282,16250616,2012,Chevrolet,Malibu LT,9998.0
283,16498237,2017,Chevrolet,Malibu LT,15998.0
284,16568639,2018,Chevrolet,Silverado 1500 LT,30998.0
285,16237991,2017,Chevrolet,Sonic LS,12998.0
286,16238078,2014,Chevrolet,Spark LS,8998.0
287,16238555,2017,Chevrolet,Spark LS,11599.0
288,16171171,2014,Chevrolet,Spark LT,9998.0
289,16598311,2017,Chevrolet,Tahoe Premier,42998.0
290,15914297,2015,Chrysler,200 Limited,12998.0
291,16237601,2016,Chrysler,200 Limited,14599.0
292,16238629,2012,Chrysler,200 S,15599.0
293,16568414,2014,Chrysler,200 Touring,12599.0
294,16568486,2018,Chrysler,300 S,28998.0
295,16171374,2015,Dodge,Challenger R/T Plus,27998.0
296,16568188,2018,Dodge,Durango R/T,39998.0
297,16238771,2016,Dodge,Grand Caravan SE,17998.0
298,16568372,2017,Dodge,Journey Crossroad Plus,23998.0
299,16568371,2017,Dodge,Journey SE,16998.0
300,16238773,2017,Dodge,Journey SXT,19998.0
301,16250715,2015,Dodge,Journey SXT,14998.0
302,16568501,2015,Dodge,Journey SXT,15998.0
303,16238088,2016,Dodge,Promaster City Tradesman,15599.0
304,16568422,2017,Dodge,Ram 1500 Express,28998.0
305,16327950,2016,Dodge,Ram 1500 Sport,33998.0
306,16238551,2014,Dodge,Ram 2500 Tradesman,33998.0
307,16568285,2015,Ford,C-Max SE,13599.0
308,16237883,2014,Ford,C-Max SEL,14998.0
309,16250791,2013,Ford,Edge Limited,18599.0
310,16598312,2017,Ford,Edge Titanium,24998.0
311,16568599,2015,Ford,Escape SE,17998.0
312,16568600,2016,Ford,Escape SE,15998.0
313,16598150,2016,Ford,Escape SE,17998.0
314,16238481,2009,Ford,Expedition XLT,12998.0
315,16568361,2017,Ford,Expedition XLT,31998.0
316,16328007,2017,Ford,Expedition EL XLT,37998.0
317,16568362,2016,Ford,Explorer Limited,31998.0
318,16568364,2016,Ford,Explorer Limited,29998.0
319,16597993,2017,Ford,Explorer Limited,27998.0
320,16598318,2015,Ford,Explorer Sport,28998.0
321,16328236,2015,Ford,F150 King Ranch,42998.0
322,16568124,2013,Ford,F150 Lariat,25998.0
323,16568162,2016,Ford,F150 Lariat,42998.0
324,16568451,2015,Ford,F150 Lariat,41998.0
325,16238768,2013,Ford,F150 STX,21998.0
326,16250502,2013,Ford,F150 XLT,23998.0
327,16568367,2015,Ford,Fiesta SE,11998.0
328,16597871,2017,Ford,Flex Limited,23599.0
329,16005450,2009,Ford,Focus S,6998.0
330,16250711,2010,Ford,Focus SEL,9998.0
331,16171641,2016,Ford,Fusion SE,14599.0
332,16568318,2014,Ford,Fusion SE,13599.0
333,16568456,2017,Ford,Fusion SE,17599.0
334,16238569,2012,Ford,Fusion SEL,9998.0
335,16568195,2015,Ford,Fusion Titanium,20998.0
336,16568074,2016,Ford,Fusion Energi Titanium,17998.0
337,16568455,2018,Ford,Fusion Hybrid Titanium,21998.0
338,16238054,2015,Ford,Mustang EcoBoost,20998.0
339,16250837,2015,Ford,Mustang EcoBoost,21599.0
340,16497306,2017,Ford,Mustang EcoBoost,19998.0
341,16568081,2016,Ford,Mustang EcoBoost,19998.0
342,16568373,2016,Ford,Mustang EcoBoost,21998.0
343,16497890,2017,Ford,Mustang GT,26998.0
344,16568083,2016,Ford,Mustang GT,31998.0
345,16249962,2012,Ford,Mustang,13998.0
346,16238474,2008,Ford,Ranger XL,10998.0
347,16171170,2011,Ford,Ranger XLT,22998.0
348,16568219,2016,Ford,Transit 350 XLT,24998.0
349,16568374,2017,Ford,Transit 350 XLT,24998.0
350,16568134,2013,GMC,Sierra 1500 SLE,25998.0
351,16568133,2014,GMC,Terrain SLE,13599.0
352,16238710,2016,GMC,Yukon SLE,36998.0
353,16171447,2017,GMC,Yukon XL 1500 SLT,45998.0
354,16238675,2017,Honda,Accord EX-L,22998.0
355,16568183,2015,Honda,Civic EX,15599.0
356,16171695,2015,Honda,Civic LX,13998.0
357,16238726,2017,Honda,HR-V EX-L,24998.0
358,16250892,2011,Honda,Odyssey EX-L,17599.0
359,16327696,2015,Honda,Odyssey EX-L,27998.0
360,16171617,2009,Honda,Pilot EX-L,13998.0
361,16568210,2016,Honda,Pilot Touring,33998.0
362,16598315,2017,Hyundai,Accent SE,11998.0
363,16598316,2017,Hyundai,Accent SE,12599.0
364,16597989,2016,Hyundai,Elantra GT,12998.0
365,16237866,2017,Hyundai,Elantra SE,15599.0
366,16568445,2015,Hyundai,Elantra SE,13998.0
367,16568446,2016,Hyundai,Elantra SE,12998.0
368,16238095,2012,Hyundai,Santa Fe GLS,15599.0
369,16250796,2013,Hyundai,Sonata GLS,11998.0
370,16328258,2017,Hyundai,Sonata,14998.0
371,16238157,2013,Hyundai,Sonata Hybrid Limited,14998.0
372,16568127,2015,Hyundai,Tucson SE,16998.0
373,16250644,2011,Infiniti,G37 Journey,15998.0
374,16568617,2017,Infiniti,Q50 Premium,30998.0
375,16568064,2015,Infiniti,Q50 S,31998.0
376,16171674,2014,Infiniti,QX50 Journey,22998.0
377,16250856,2014,Infiniti,QX50 Journey,21998.0
378,16327953,2017,Infiniti,QX80,46998.0
379,16568358,2018,Jeep,Cherokee Trailhawk,27998.0
380,16250615,2017,Jeep,Patriot Sport,14998.0
381,16568467,2016,Jeep,Patriot Sport,15599.0
382,15908187,2015,Jeep,Renegade Latitude,15998.0
383,16568111,2016,Jeep,Wrangler Sahara,26998.0
384,16250468,2015,Jeep,Wrangler Unlimited Altitude,35998.0
385,16568427,2013,Jeep,Wrangler Unlimited Sahara,26998.0
386,16237690,2015,Jeep,Wrangler Unlimited Sport,30998.0
387,16568376,2017,Jeep,Wrangler Unlimited Sport,30998.0
388,16171679,2015,Kia,Forte LX,11998.0
389,16238769,2017,Kia,Forte LX,13998.0
390,16250589,2016,Kia,Sedona L,18998.0
391,16568340,2016,Kia,Sedona LX,19998.0
392,16327598,2015,Kia,Soul,12998.0
393,16250227,2009,Kia,Sportage LX,8998.0
394,16568327,2015,Land,Rover Discovery Sport SE,26998.0
395,15777891,2012,Lexus,CT 200h Premium,15998.0
396,16440525,2015,Lexus,CT 200h,20998.0
397,16238623,2011,Lexus,ES 350,18599.0
398,16327902,2015,Lexus,ES 350,22599.0
399,16450996,2016,Lexus,GX 460,39998.0
400,16250884,2016,Lexus,IS 200t,26998.0
401,16238649,2008,Lexus,IS 250,12998.0
402,16237439,2014,Lexus,LS 460,44998.0
403,16450985,2015,Lexus,NX 200t,29998.0
404,16450998,2015,Lexus,RX 350 F-SPORT,32998.0
405,16250508,2017,Mazda,CX-5 Grand Select,29998.0
406,16568284,2017,Mazda,CX-5 Grand Touring,29998.0
407,16250232,2010,Mazda,CX-7 i Sport,9998.0
408,16568311,2017,Mazda,CX-9 Signature,33998.0
409,16250798,2016,Mazda,Mazda3 i Sport,15998.0
410,16568329,2016,Mazda,Mazda3 i Sport,14998.0
411,16568292,2014,Mazda,Mazda6 I Touring,13998.0
412,16238657,2015,Mercedes-Benz,C300,24998.0
413,16238819,2015,Mercedes-Benz,C300,25998.0
414,16238824,2015,Mercedes-Benz,C300,25998.0
415,16171186,2015,Mercedes-Benz,CLA250,23599.0
416,16485624,2015,Mercedes-Benz,E400,29998.0
417,16250418,2015,Mercedes-Benz,GLA250,26998.0
418,16486114,2015,Mercedes-Benz,GLA250,25998.0
419,16238817,2017,Mercedes-Benz,GLC300,41998.0
420,16171189,2008,Mercury,Mountaineer,10998.0
421,16568112,2012,Mini,Cooper Countryman S,13998.0
422,16250658,2011,Mini,Cooper,10998.0
423,16250680,2009,Mini,Cooper,9998.0
424,16328243,2017,Mitsubishi,Outlander SE,18998.0
425,16238358,2015,Mitsubishi,Outlander Sport ES,15998.0
426,16171717,2010,Nissan,Altima S,11998.0
427,16238118,2009,Nissan,Altima S,9599.0
428,16238709,2017,Nissan,Altima S,17599.0
429,16568529,2015,Nissan,Altima S,13998.0
430,16238763,2015,Nissan,Altima SV,16599.0
431,16568055,2015,Nissan,Altima SV,14998.0
432,16451179,2017,Nissan,Frontier S,17998.0
433,16568601,2017,Nissan,Frontier S,18998.0
434,16250788,2010,Nissan,Frontier SE,17998.0
435,16250853,2014,Nissan,Leaf SL,11998.0
